Time,Aggregate_CPU(%),Aggregate_Memory(GB)
2025-12-01 13:41:36,0.0,0.00
2025-12-01 13:41:39,0.0,0.00
2025-12-01 13:41:42,0.0,0.00
2025-12-01 13:41:45,0.0,0.00
2025-12-01 13:41:48,0.0,0.00
2025-12-01 13:41:51,0.0,0.00
2025-12-01 13:41:54,0.0,0.00
2025-12-01 13:41:57,0.0,0.00
2025-12-01 13:42:00,0.0,0.00
2025-12-01 13:42:03,0.0,0.00
2025-12-01 13:42:06,0.0,0.00
2025-12-01 13:42:09,0.0,0.00
2025-12-01 13:42:12,0.0,0.00
2025-12-01 13:42:15,0.0,0.00
2025-12-01 13:42:18,0.0,0.00
2025-12-01 13:42:21,0.0,0.00
2025-12-01 13:42:24,0.0,0.00
2025-12-01 13:42:27,0.0,0.00
2025-12-01 13:42:30,0.0,0.00
2025-12-01 13:42:33,0.0,0.00
2025-12-01 13:42:36,0.0,0.00
2025-12-01 13:42:40,0.0,0.00
2025-12-01 13:42:43,0.0,0.00
2025-12-01 13:42:46,0.0,0.00
2025-12-01 13:42:49,0.0,0.00
2025-12-01 13:42:52,0.0,0.00
2025-12-01 13:42:55,0.0,0.00
2025-12-01 13:42:58,0.0,0.00
2025-12-01 13:43:01,0.0,0.00
2025-12-01 13:43:04,0.0,0.00
2025-12-01 13:43:07,0.0,0.00
2025-12-01 13:43:10,0.0,0.00
2025-12-01 13:43:13,0.0,0.00
2025-12-01 13:43:16,0.0,0.00
2025-12-01 13:43:19,0.0,0.00
2025-12-01 13:43:22,0.0,0.00
2025-12-01 13:43:25,0.0,0.00
2025-12-01 13:43:28,0.0,0.00
2025-12-01 13:43:31,0.0,0.00
2025-12-01 13:43:34,0.0,0.00
2025-12-01 13:43:37,0.0,0.00
2025-12-01 13:43:40,0.0,0.00
2025-12-01 13:43:43,0.0,0.00
2025-12-01 13:43:46,0.0,0.00
2025-12-01 13:43:49,0.0,0.00
2025-12-01 13:43:52,0.0,0.00
2025-12-01 13:43:55,0.0,0.00
2025-12-01 13:43:58,0.0,0.00
2025-12-01 13:44:01,0.0,0.00
2025-12-01 13:44:05,0.0,0.00
2025-12-01 13:44:08,0.0,0.00
2025-12-01 13:44:11,0.0,0.00
2025-12-01 13:44:14,0.0,0.00
2025-12-01 13:44:17,0.0,0.00
2025-12-01 13:44:20,0.0,0.00
2025-12-01 13:44:23,0.0,0.00
2025-12-01 13:44:26,0.0,0.00
2025-12-01 13:44:29,0.0,0.00
2025-12-01 13:44:32,0.0,0.00
2025-12-01 13:44:35,0.0,0.00
2025-12-01 13:44:38,0.0,0.00
2025-12-01 13:44:41,0.0,0.00
2025-12-01 13:44:44,0.0,0.00
2025-12-01 13:44:47,0.0,0.00
2025-12-01 13:44:50,0.0,0.00
2025-12-01 13:44:53,0.0,0.00
2025-12-01 13:44:56,0.0,0.00
2025-12-01 13:44:59,0.0,0.00
2025-12-01 13:45:02,181.0,0.32
2025-12-01 13:45:06,190.0,0.69
2025-12-01 13:45:10,253.0,0.97
2025-12-01 13:45:14,216.0,1.56
2025-12-01 13:45:18,263.0,1.64
2025-12-01 13:45:22,362.0,2.03
2025-12-01 13:45:26,358.0,3.94
2025-12-01 13:45:30,3.0,4.41
2025-12-01 13:45:34,280.0,4.26
2025-12-01 13:45:38,0.0,0.00
2025-12-01 13:45:41,0.0,0.00
2025-12-01 13:45:44,0.0,0.00
2025-12-01 13:45:47,0.0,0.00
2025-12-01 13:45:50,0.0,0.00
2025-12-01 13:45:53,0.0,0.00
2025-12-01 13:45:56,0.0,0.00
2025-12-01 13:45:59,0.0,0.00
2025-12-01 13:46:02,0.0,0.00
2025-12-01 13:46:05,0.0,0.00
2025-12-01 13:46:08,0.0,0.00
2025-12-01 13:46:11,0.0,0.00
2025-12-01 13:46:14,0.0,0.00
2025-12-01 13:46:17,0.0,0.00
2025-12-01 13:46:20,0.0,0.00
2025-12-01 13:46:23,0.0,0.00
2025-12-01 13:46:26,0.0,0.00
2025-12-01 13:46:29,0.0,0.00
2025-12-01 13:46:32,0.0,0.00
2025-12-01 13:46:35,0.0,0.00
2025-12-01 13:46:38,0.0,0.00
2025-12-01 13:46:41,0.0,0.00
